ID,Use Case,AI Product,Delivery Owner,Status,Current Phase,Lifecycle Sub-Step,AI Governance Step,AI PO,AI Strategist,Buy/Build/Adapt,Submitter,Business Partner,Business Area,Executive Summary,Build Lead,Priority,Risk Assessment,Comments,Problem Statement,Description,Governance Notes,Timing Considerations,Is Real Data Required?,Does it Drive Internal Efficiency?,Data Scope,AI Solution or Tools of Interest,Build Status,Does it leverage AI on Products?,Build Notes,PV ID,Risk Level,In Scope,Modified By,Submission Date,Created,Submission Year,Intake & Triage Date,Risk Review Date,AI OC Review Date,AI GB Review Date,AI ARC Complete Date,Deployment/Approval Date,Completion,Stakeholders,In Build Team Scope,ADO Epic,Doc link. Funding Commitment Form,Doc link. Level of Effort,Doc link. Functional Design Document,Doc link. Technical Design Document,Doc link. Application Installation Quallification (AIQ),Doc link. Code Review,Doc link. Runbook,Doc link. Hypercare Exit Criteria,Doc link. SIT Test Scripts,Doc link. UAT Test Scripts,Modified,Total Priority,AI Validation Status,AI Monitoring Required,AI Safety and Performance Status,Financial ROI,Strategic Priority,Continuity,Regulatory priority level,Total Priority McKensey,Business Unit: Group,LOE Tshirt Size,Projected Value $,Doc link. BCFM,Doc link. URS Requirements,ROM / LOE Total Amount,Feasibility (Complexity & Data Readiness),Scalability or Reusability,Total Priority -Opt
137,Finance Policy Chat,,,Completed,6. Approved for Use,12. Complete,AI Governance Completed,"Heller, Amanda","Heller, Amanda",Co-Build,"BANERJEE, JAGANNATH",,Finance,,,Routine,/:x:/s/AIStrategy/EUK7JHMkiTpAlXq8ecEwpyABZHTepCafEYT7mbAcfanEzA?e=7khzBc,,,"Financial Accounting team members often face delays and inefficiencies when trying to locate, interpret, and apply corporate finance policies. With over 70 policy documents hosted across SharePoint, manual search and interpretation can be time-consuming, inconsistent, and error-prone—especially when quick decisions are needed.","10/21/2025:I&T: The next steps include formalizing the co-build pilot, preparing for broader deployment, and ensuring all necessary documentation and change management processes are in place. 
10/22/2025: Jagannath is traveling for conference next week. Asked to present 11/05/2025.
11/17/2025: I spoke with Matt and was agree to remove the check of General-purpose productivity support platform because this chat bot do not answer general questions.",,TRUE,TRUE,,Financial Accounting team members will instantly retrieve and interpret over 70 SharePoint-hosted finance policy documents using chat interface within Microsoft Teams.,0-Not Assigned,TRUE,,,High,Yes,"Elizondo, Carlos",9/23/25,9/25/25 13:39,2025,10/21/25,11/5/25,,,3/31/25,,0%,Emily Harvey,No,,,,,,,,,,,,3/20/26 11:32,34,Not Assessed,Not Assessed,Completed,,,,,0,Corporate,,,,,,,,0
138,LinkedIn Learning AI Role Play,,AI Office,Completed,6. Approved for Use,12. Complete,Pending Assessments / AI ARC,"Flores, Fernando","Ballestero, Michael",Add-On,"Burnett, Kirsten","Pizarro, Laurie",HR,,,Routine,/:x:/s/AIStrategy/EVbdmtz3Q95FukH2ixcW5cMBWYlT440vASow42tI8PhmRg?e=9xZTnj,11/11 --> Fer to follow up with Laurie. 12/05 --> On Model performance,,"LiL AI Role Play features allows employees to simulate and practice challenging workplace conversations - such as delivering feedback, conducting performance reviews, handling customer service issues, or navigating conflict resolution. Users can customize the scenario, choose their role, and interact with an AI agent via voice or text. After the session they receive personalized feedback highlighting strengths and areas for improvement.","10/16/2025: Laurie confirm that is not able to present the use case Oct 21st because she has a Dr, appt. Follow up for following week.

10/29/2025: No AI OC required since use case risk is medium and not novel",,TRUE,TRUE,,"LinkedIn Learning’s chatbot can answer learner’s questions in real-time, referencing the entire LinkedIn Learning library of resources to provide expert-informed answers and links to relevant courses and additional information.",0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",9/29/25,9/30/25 14:58,2025,10/28/25,10/29/25,,,1/20/26,,0%,,No,,,,,,,,,,,,5/4/26 8:12,30,Not Assessed,Not Assessed,Required,,,,,0,Corporate,,,,,,,,0
139,Muir AI,,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Flores, Fernando","Flores, Fernando",Buy,"Bansal, Rajat","Wernette, Shaun",GLO,,,Routine,/:x:/s/AIIntakeTeam/EUtAi4rxB3NNvy8Hyou1likBkYFQpmfW_mtYSPpzhT9rzw?e=cYIU4k,11/11 --> Fer to follow up with BP about assessments status. DONE 11/13 --> Marco is currently working on assessment.12/05 --> Missing assessments and going to AI ARC,"Stryker wants to calculate product carbon footprint of their selected products. Muir AI with their proprietary platform will inject Stryker’s Bill of Materials, manufacturing process data and relevant emissions factors into their model to calculate complete lifecycle assessment of the product and translating it into carbon emissions.",Product carbon footprint calculation for sustainability teams,,,FALSE,FALSE,,"Muir AI utilizes machine learning, specifically focused on data fusion and analysis, to help companies understand and reduce their supply chain emissions.",0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",8/11/25,10/1/25 6:13,2025,8/27/25,8/27/25,9/11/25,,,,0%,,No,,,,,,,,,,,,5/4/26 8:07,30,Not Required,Not Required,Completed,,,,,0,GQO,,,,,,,,0
140,NI's Nigel for LabVIEW,,AI Office,In-Progress,3. Evaluation,01. Use Case Submission,Pending Assessments / AI ARC,"De la Torre, Gustavo",,Buy,"Gish, David","Cubacha, Maria",Cross-Divisional,,,Routine,/:x:/s/AIStrategy/ETyQsd7BJ-NIm2hsmyx4UqcB2pMsoJpeK2l5f4fUjG3wxA?e=ZElYZm,"12/05 --> Fer, Follow up use case. 12/16 --> Submitter have change from Dan Brady to David Gish, are currently on the assessments.","Nigel is also trained in another SW tool, called TestStand that is used throught Stryker. Many of the same reasons and costs could be applied to its use there but it is not the use case I'm seeking.","Nigel is a National Insturments (NI) AI that can be used to provide feedback on LabVIEW source code within the design environment. Nigel is currently built into the LabVIEW design environment produced by NI, although you can opt to not install. As far as they are concerned we are able to use if if we have a licence with them.","10/21/2025:I&T: Absent in today's meeting. 
11/11/2025: Ready for risk review (Brian: next week or more to see the capabilities). 
11/17/2025: Dan confirmed to present the use case in our Risk Review on Dec 3rd.
12/03/2025: Risk Rev: Escalation to the AI Operating Committee is not required.",,TRUE,TRUE,,Nigel is a National Insturments (NI) AI that can be used to provide feedback on LabVIEW.,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",10/2/25,10/6/25 9:40,2025,11/11/25,12/3/25,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:12,30,Not Assessed,Not Assessed,Required,,,,,0,Cross-Divisional,,,,,,,,0
141,Federated Search Vendor Replacement,,,On Hold,1. Discovery,01. Use Case Submission,New Use Case,"Flores, Fernando",,Buy,"Hauslendale, Meilena","Rapoza , Ernie",Instruments,,,Routine,/:x:/s/AIStrategy/EYoMWwOj-1pOrUoH7xjv-OUBzAwPhyHscKAh9xfsQioddA?e=c8jDl2,,,As a part of our Federated Search inside of Salesforce Service Cloud we would like our engineers to be able to use AI to find the documentation that they need based on a support case.,11/11/2025: Meilena confirmed to put on hold this use case because they are working on strategy planning that will carry us over until probably Q1.,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",10/3/25,10/7/25 11:56,2025,,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:13,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
142,Incident Quality Assistant,,AI Office,New Submission,1. Ideation,01. Use Case Submission,Scheduled for Intake & Triage,"Arguedas, Andre","Heller, Amanda",Build,"jansen van den doormalen, Pascal","Tagliaferro, Barb",EDT,,,Routine,/:x:/s/AIStrategy/EdTF_R4YvwlEuaAlGKkuPpABF3QVyElbtBxOvVhgH0eI1Q?e=VJjoLx,"12/05 --> Fer will follow up on Monday, Pascal is OOO. 12/16 --> Fer, waiting respond from Pascal to schedule a meeting. 12/18 --> Follow up meeting scheduled. 1/8 --> Pascal will review if NowAssist from SN works for them.","Incident resolution notes in ServiceNow are often incomplete or inconsistent, lead to higher incident handking costs, poor knowledge reuse,making it difficult to assess incident quality, SLA compliance risks, and suboptimal end-user experience.","Use Case Name : Incident Quality Assistant -  Virtual assistant to assess the quality of Incident. It can assess the incident quality as per predefined checklist and share the incident quality
score(high, medium, low).Some of the items in the checklist are​
1. Timeliness : Was the incident reported and responded within SLA?​
2. Classification : Was the incident categorized and prioritized correctly?​
3. Documentation quality: Were the incident description, closed Notes, Work notes clear and complete?​","10/27/2025: Jansen is OOO, will return Oct, 30.
10/31/2025: Jansen confirmed that will be presenting the use case on Nov 18th.
11/18/2025:Schedule a separate follow-up meeting (Nov 25th) with Pascal to
discuss the approach and next steps for the proposed AI operations support POC and related use
cases, excluding TCS representatives. 
11/25/2025: Meeting: Continue evaluating solutions, consult the team for training approaches, and reach out when ready to proceed, at which point the team will determine the appropriate review and approval process.
01/20/2026: Fer confirmed that they will check AssistNow of SN to see if it works as a solution.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Elizondo, Carlos",10/3/25,10/8/25 14:19,,11/18/25,,,,,,0%,,No,,,,,,,,,,,,3/20/26 11:10,45,Not Assessed,Not Assessed,Required,3,5,1,0,9,EDT,,,,,,,,39
143,Incident Analyst Assistant,,AI Office,New Submission,1. Ideation,01. Use Case Submission,Scheduled for Intake & Triage,"Arguedas, Andre","Heller, Amanda",Build,"jansen van den doormalen, Pascal","Tagliaferro, Barb",EDT,,,Routine,/:x:/s/AIStrategy/Efa8gg8aBdtPtX8ao2cNlyYBiFUH0j8zfI9dtqaEDjqCIg?e=lnixoG,"12/05 --> Fer will follow up on Monday, Pascal is OOO. 12/09 --> Fer, waiting respond from Pascal to schedule a meeting.12/18 --> Follow up meeting scheduled. 1/8 --> Pascal will review if NowAssist from SN works for them.","Problem Statement :  The support teams spend lots of manual effort to do the root cause analysis of the assigned incident. They have to search through ServiceNow knowledge articles to understand rootcause of the incident , and arrive at the possible  recommendations. This leads to increased downtime, higher support costs, and reduced customer satisfaction."," Use Case Name : Incident Analyst Assistant - Virtual assistant to assist the support team . It searches similar historical incidents/Knowledge base articles/SOPs and fetches the root cause, by recommending root cause , resolution steps. Support team can use this information to resolve the issues quickly
","10/27/2025: Jansen is OOO, will return Oct, 30.
10/31/2025: Jansen confirmed that will be presenting the use case on Nov 18th.
11/18/2025:Schedule a separate follow-up meeting (Nov 25th) with Pascal to
discuss the approach and next steps for the proposed AI operations support POC and related use
cases, excluding TCS representatives. 
11/25/2025: Meeting: Continue evaluating solutions, consult the team for training approaches, and reach out when ready to proceed, at which point the team will determine the appropriate review and approval process.
01/20/2026: Fer confirmed that they will check AssistNow of SN to see if it works as a solution.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Elizondo, Carlos",10/3/25,10/8/25 14:23,,11/18/25,,,,,,0%,,No,,,,,,,,,,,,3/20/26 11:10,55,Not Assessed,Not Assessed,Required,3,5,1,0,9,EDT,,"$300,000.00 ",,,"$250,000.00 ",3,3,63
144,Resolution Note Check,,AI Office,New Submission,1. Ideation,01. Use Case Submission,Scheduled for Intake & Triage,"Arguedas, Andre","Heller, Amanda",Build,"jansen van den doormalen, Pascal","Tagliaferro, Barb",EDT,,,Routine,/:x:/s/AIStrategy/ETpNtcgUl9RGoHPWWTEsZWwBggd3ag5jz8fcPwYvQfq0HA?e=qsgV1h,"12/05 --> Fer will follow up on Monday, Pascal is OOO. 12/09 --> Fer, waiting respond from Pascal to schedule a meeting.12/18 --> Follow up meeting scheduled. 1/8 --> Pascal will review if NowAssist from SN works for them.","Problem Statement :  Resolution notes in ServiceNow incidents are often incomplete or inconsistent, making it difficult to capture knowledge effectively. This leads to repeated issues, slower resolutions, and limited reuse of contextual resolution details.  ","Use Case Name : Resolution Note Check -  To enforce every incident ticket has a proper resolution note. When a support agent updates resolution and closure notes for a Service Now
incident, GenAI agent shall read the resolution note and recommend additional relevant information, based on the contextual information obtained from similar historical incidents or KB articles or from SOPs in SharePoint​","10/27/2025: Jansen is OOO, will return Oct, 30.
10/31/2025: Jansen confirmed that will be presenting the use case on Nov 18th.
11/18/2025:Schedule a separate follow-up meeting (Nov 25th) with Pascal to
discuss the approach and next steps for the proposed AI operations support POC and related use
cases, excluding TCS representatives. 
11/25/2025: Meeting: Continue evaluating solutions, consult the team for training approaches, and reach out when ready to proceed, at which point the team will determine the appropriate review and approval process.
01/20/2026: Fer confirmed that they will check AssistNow of SN to see if it works as a solution.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Elizondo, Carlos",10/3/25,10/8/25 14:29,,11/18/25,,,,,,0%,,No,,,,,,,,,,,,3/20/26 11:10,43,Not Assessed,Not Assessed,Required,3,5,1,0,9,EDT,,,,,,,,39
145,Solers.io,,AI Office,Completed,6. Approved for Use,11. Active Downstream Assessments,Scheduled for AI OC Review,"Flores, Fernando",,Buy,"Fabre, Carole","Petersen, Stacey",Marketing,,,Routine,/:x:/s/AIStrategy/EZrSbR0vj5tBhZoIJzcK6rQB9EO_qzPczitp3X2zpGI0ZA?e=z2h66N,"11/11 --> Fer to check with the BP after testing and comparison with Mindteckle, follow up after Model Performance is done or next week 11/19. 12/16 continue with assessments.",,"Improve sales reps’ efficacy in selling methodology through AI-driven sales talk tracks and product pitches. Current training is inconsistent and lacks contextual relevance—AI tools will personalize learning, simulate customer interactions, and accelerate onboarding.","10/29/2025: Hewitt, Lindy will present the use case.
11/04/2025: Lindy decided to go forward with the risk review.
11/12/2025:Changed to High Risk and AI OC needed.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",10/3/25,10/8/25 14:56,,11/4/25,11/12/25,12/11/25,,1/6/26,,0%,,No,,,,,,,,,,,,5/4/26 8:10,30,Enviroment Provided,Not Required,Completed,,,,,0,Corporate,,,,,,,,0
146,Medical Shared Inbox Email Automation,,,On Hold,1. Discovery,01. Use Case Submission,Pending Assessments / AI ARC,"De la Torre, Gustavo","Heller, Amanda",Co-Build,"Norgaard, Skyler","Cubacha, Maria",Medical,,,Routine,/:x:/s/AIStrategy/ERSqn_KOUTdHv8Ziw-eE5OkBpqb4ggAZmRJQIO2B9oMIXw?e=hgc8on,11/12 --> Mike to check with Amanda,,"As mentioned in A1, our team is managing an increasing number of daily support emails. Most of which are common enough actions that could be augmented with an AI agent. ","10/17/2025: Andrew Penny was the submitter but Maria Cabucha told me to include Skyler Norgaard as submitter and presenter. Pending to send AI Intake&Triage invite for Oct 28th.
10/23/2025: Invite sent
10/28/2025: Coordinating with Skyler his availability. 
11/12/2025: Risk changed to medium. Team decided that AI OC is needed.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Elizondo, Carlos",10/6/25,10/8/25 15:05,,10/28/25,11/12/25,12/11/25,,,,0%,,Yes,,,,,,,,,,,,3/20/26 11:32,30,Not Required,Not Required,Completed,,,,,0,Commercial US,,,,,,,,0
147,IT Compass AI Enhacement,,,In-Progress,4. Development,06. Pre-DRB,Pending Assessments / AI ARC,"Arguedas, Andre","Heller, Amanda",Adapt,"Kam, Felix","Coy, Kristina",EDT,,,Routine,/:x:/s/AIStrategy/EWJBhnKIeItIiCS4YG5Ao2ABprmVvULpZnW2C1SNP3jQPw?e=EkPK6F,11/12 --> Josue to check with Alfonso about outcomes after meeting with the requestor.,,"Employees struggle with multi-language support, job title clarity, and accessing Planview data within the IT Compass.","10/21/2025:I&T: Submit PV record, scheduling pre-DRB sessions, and involving the appropriate business partners and build team to finalize the project classification and resource allocation. 
Continue risk review.

10/29/2025: No AI OC needed as use case has been reviewed already (IT Compass 1.0)",,TRUE,TRUE,,,0-Not Assigned,TRUE,,1010363,High,Yes,"Elizondo, Carlos",10/6/25,10/9/25 11:42,,10/21/25,10/29/25,,,,,0%,,Yes,,,,,,,,,,,,3/20/26 11:32,33,Not Required,Not Required,Completed,5,4,3,0,12,EDT,Small $78k,"$100,000.00 ",,,,5,5,67
148,Abnormal Order Entry AI,,,In-Progress,1. Ideation,06. Pre-DRB,Pending Risk Review,"Ballestero, Michael","Heller, Amanda",Build,"Hesketh, Ian","Watkins, Ronald",Instruments,,,Routine,/:x:/s/AIStrategy/ER0E-cSXJgZEsSdG_oAGwL8BUq_B1HJ69Ifef_qMkjaWPQ?e=LjN91I,"4 Dic -- > Josue checked with Carlos, and the project is in the pre DRB phase with estimations",,"Over the last 18 months we have had a number of human errors that have caused significant disruption to the business resulting in constrained supply, back order and rework costs. This AI will highlight any order which is outside the expected range for the customer type and will enable teams to react to an issue before it reaches a customer.","11/11/2025: Intake & Triage: Submit demand record, Pre DRB, provide estimates of build costs (Ronald do it). NOT ready for risk review.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,1010178,Medium,Yes,"Elizondo, Carlos",10/6/25,10/9/25 11:51,,11/11/25,,,,,,0%,,Yes,,,,,,,,,,,,3/20/26 11:11,48,Not Assessed,,Required,3,4,,,7,Commercial US,Medium $250k,"$400,000.00 ",,,"$250,000.00 ",4,3,63
149,Anthropic,,AI Office,New Submission,3. Evaluation,01. Use Case Submission,Pending Assessments / AI ARC,"Flores, Fernando",,Buy,"Sanantonio, Joseph","Sperry, Brad",Medical,,,Routine,/:x:/s/AIStrategy/EQECZ6eR11RGs5YJqRvGJXEBB3UbKwrK3A9gpxZDlgeKzA?e=lelx5H,12/05 --> Fer made a follow up to know if they are going to use Anthropic or Cursor.,,Anthropic suite will be used for custom logging and pattern detection ,"10/28/2025: Ernie confirm to present the use case. CC Joseph Sanantonio.
11/03/2025: Ernie requested to re schedule for 11/11/2025. Brad Sperry will present the use case.
11/11/2025: Intake & Triage: Ready to risk review and investigate agreements currently in place.
11/18/2025: Risk Review: Continue with assessments. Joseph connect with Brian Fouts to determine next steps if cursor is not viable.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,1010325,High,Yes,"Abreu, Matthew",10/6/25,10/9/25 11:58,2025,11/11/25,11/19/25,,,,,0%,,No,,,,,,,,,,,,5/4/26 6:29,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
150,Terminal Ai Agent,,AI Office,Completed,8. Cancelled,01. Use Case Submission,Pending Assessments / AI ARC,"Flores, Fernando",,Buy,"Guo, Benjamin","Sanusi, Adeyinka",Medical,,,Routine,/:x:/s/AIStrategy/EcC8QaPhRcJIscZTFWJCnAoBqlqxVlhbN9IzmxOrbhGfWA?e=40DDL6,11/11 --> Fer to follow up with Carlos about the risk review. DONE,,"As software/dev-ops engineers and systems administrators, we frequently operate within terminal environments to manage codebases, automate workflows, interact with development tools, and administrate systems. Despite the increasing availability of AI-powered assistants, most are designed for graphical interfaces or web-based platforms, which disrupt the streamlined, keyboard-centric workflows preferred in engineering contexts. Current limitations include: Context Switching: Moving between terminal and browser- or IDE-based AI tools introduces friction and cognitive overhead. Limited Terminal-Based Capabilities from GitHub Copilot: GitHub Copilot does not integrate seamlessly with local environments, build tools, and shell utilities. The IDE-based plug-in cannot run terminal commands in IntelliJ and the CLI extension can only explain and suggest single commands at a time.","10/21/2025:I&T:Benjamin would investigate Cursor and Claude, consult with Brian Fouts for further insights, and report back if gaps remain. If Warp is still preferred, the team will proceed with risk review, necessary assessments, and the purchase process.
***Wait a week for a follow up and check if we can continue with risk review.
Confirm if he spoke with Oliver.
11/10/2025: Benjamin has a pending conversation with Olivier. He will confirm when is complete. He found in Cursor some gaps.
Include  IT BP in that conversation and wait for risk review.
11/19/2025: Risk Review: Continue with assessments. Benjamin to Prepare and share a demo of Warp and a
comparison with alternative tools (e.g., Copilot, cursor CLI) to clarify the value proposition and
rationale for selecting Warp over other options.
11/21/2025:The Cursor IDE itself covers the main needs of feeding terminal context to its AI agent, generating commands that can be inserted directly into the terminal, and even running terminal commands agentically. Benjamin: there is not a need to continue assessing Warp, and that the Cursor IDE will suffice once it’s available.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",10/7/25,10/9/25 18:12,,10/21/25,11/19/25,,,,,0%,,No,,,,,,,,,,,,5/4/26 6:11,30,Not Assessed,Not Assessed,Completed,,,,,0,Commercial US,,,,,,,,0
151,AI Demantra Forecast,,AI Office,In-Progress,1. Ideation,01. Use Case Submission,Pending Risk Review,"Ballestero, Michael","Heller, Amanda",Co-Build,"Mishra, Swastik","Morgan, Benjamin",GQO,,,Time-Sensitive,/:x:/s/AIStrategy/ERVZESkWBqJFqapv_IDkrksBRwiAoEdwcXI-5dRNX7GqxQ?e=UAzNLj,"11/12 --> Fer to follow up with Ben on next steps. 12/05 --> Scheduled a meeting with Dev Team. 12/18, not a build going to assessments.",,"The current forecast generated from Demantra is only for 36 months but twice a year, supply and fincance team needs 5 year forecast. Right now this is done manually in excel, we are trying to build a robust process around it using advanced ML and AI models.","10/24/2025: Scheduled AI Intake & Triage meeting with Benjamin and confirmed by teams. Invite sent for NOV 04.
11/04/2025: Ben will connect with Dan to see opportunities. Ben will send an email about the outcome and then analyze if proceed with risk review.
",,FALSE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",10/9/25,10/9/25 18:21,,11/4/25,,,,,,0%,,Yes,,,,,,,,,,,,3/23/26 14:15,30,Not Assessed,Not Assessed,Required,,,,,0,GQO,,,,,,,,0
152,Atlassian - Rovo,,AI Office,In-Progress,6. Approved for Use,12. Complete,AI Governance Completed,"Flores, Fernando","Ballestero, Michael",Add-On,"De Jesus, Robert (Contractor)","Popnoe, Justin",,,,,/:x:/s/AIStrategy/IQCgzTT2I6RZSo1t0wJVPfy3AaUDv30hZtwnraJtzb8_46E?e=GJK6Fl,"No cost request; Rovo features now provided in existing, approved Atlassian solutions as described above                                                                    11/12: Mike to check status and follow up.","Rovo features including advanced search, conversational chat, and intelligent automation are provided through specialized agents. By connecting to internal enterprise knowledge and third-party apps, Rovo helps users find information faster, automate repetitive tasks, and get real-time, context-aware insight","Request to allow use of embedded ""Rovo"" AI capabilities within approved Atlassian products like Jira and Confluence.  ","12/11/2025: This was agreed to manage it as a fast track. Include it in the meeting notes.
Waiting for risk review assessment.
",ASAP,FALSE,TRUE,"Atlassian product applications (Jira, Confluence)",Rovo (embedded AI in Atlassian products),0-Not Assigned,FALSE,,,,Yes,"Abreu, Matthew",10/10/25,10/10/25 13:25,2025,12/16/25,,,,2/17/26,,0%,"R&D, Engineering",No,,,,,,,,,,,,5/4/26 5:56,30,Not Assessed,Not Assessed,Required,,,,,0,Other,,,,,,,,0
153,DeepSights,,AI Office,Completed,6. Approved for Use,12. Complete,,"Flores, Fernando","Flores, Fernando",Buy,"Flores, Fernando","Wates, Caroline",DRE,,,,,,,,No Risk Assessment,,FALSE,FALSE,,,0-Not Assigned,FALSE,,,,Yes,"Abreu, Matthew",10/10/25,10/10/25 14:10,,,,,,,,0%,,No,,,,,,,,,,,,5/4/26 5:57,30,Not Assessed,Not Assessed,Completed,,,,,0,Other,,,,,,,,0
156,Global Survey Index,,,In-Progress,1. Ideation,02. Intake & Triage,Pending Assessments / AI ARC,"Heller, Amanda","Heller, Amanda",Co-Build,"Herrera, Daniel","Petersen, Stacey",Neurovascular,,,,/:x:/s/AIStrategy/EW2xtgmanpBPv3Nc02430YkBxc8h__qpR8TMF8yiOnXBZg?e=rgSaw6,11/12 --> Mike to check with Amanda,,"RA Specialists face delays in decision-making due to the time required to review historical data and determine notification requirements. This slows down project planning and execution, especially when approvals from key countries are needed quickly.","10/29/2025: Hewitt, Lindy will present the use case.
11/04/2025: This was changed to Co-Build and will continue with the risk review. Andrew Manlutac
11/13/2025: Lindy confirmed that Andrew and Daniel will present the use case on Nov 26. 
I need to forward the invite.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Elizondo, Carlos",10/10/25,10/13/25 9:47,,11/4/25,11/26/25,,,,,0%,,Yes,,,,,,,,,,,,3/27/26 7:15,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
158,Copilot Studio - AI,,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Flores, Fernando",,Buy,"Abarca, Brighton",,EDT,,,,/:x:/s/AIStrategy/EcHndB74GTlLvGx7wrdUYUYBD91a6HwFoiYN5MzeYObReA?e=wYwcgy,11/11: Fer to follow up with Brighton to assist on pending assessments. DONE,,"The goal is to provide a platform that allows teams to build and manage AI copilots to improve efficiency, automate common tasks, and support users through conversational experiences.

Copilot Studio will be used across different business areas to create and maintain copilots that integrate with Microsoft 365 and other systems. It enables automation, self-service, and easier access to information while following company governance and security standards.",10/21: Intake & Triage not needed as platform is already supported as an enterprise standard. Will start with Risk Review. High risk changed to medium in Risk Review.,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",10/13/25,10/17/25 7:05,2025,,10/22/25,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:04,30,Not Required,Not Required,Not Required,,,,,0,EDT,,,,,,,,0
159,Azure AI Foundry,,,On Hold,1. Discovery,01. Use Case Submission,Pending Intake & Triage,"De la Torre, Gustavo","Flores, Fernando",Buy,"Vargas, Josue David",,EDT,,,Routine,/:x:/s/AIStrategy/EbG81cVnI9BKuyJKk1dAgbMB9lCK4Q6DTwOoeJqxr7u6cQ?e=lTIgdo,,,"To enable innovation and collaboration, teams require a secure and scalable environment for developing, testing, and deploying advanced applications. By providing a unified workspace, users can efficiently build solutions while maintaining compliance with privacy and security standards. This approach empowers IT and analytics teams to accelerate project delivery and support global operations without exposing sensitive data.",10/30/2025: This request was sent to create a CI but Mindy confirmed that this is not allowed. Mike confirmed that this use case will be on hold.,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Abreu, Matthew",10/15/25,10/30/25 13:19,2025,,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:03,30,Not Required,Not Required,Not Required,,,,,0,EDT,,,,,,,,0
161,Literature Trends Report,,IT,Completed,8. Cancelled,01. Use Case Submission,Additional Info Needed,"De la Torre, Gustavo","Heller, Amanda",Build,"Patel, Radhika","Hu, Wendy",Neurovascular,,,Routine,/:x:/s/AIStrategy/EcHvE1WrdDJHohMD9ZP10bEBfPc_qXym2Uuc3KhsrXkV3g?e=Ah6D8C,12/8 --> Wendy will talk with Kenneth. 12/15 Kenneth Vallecillo will drive this initiative. Follow up is needed to see if could connect with him.,,"I am working on creating a power automation that will send a weekly trigger to Action 1: AI Builder or Bing Search to do a search on several key words (ie. MMAe, cSDH, liquid embolic) since the last time we pulled this search. Action 2: Summerize the results and include trends/changes in past 1 month 3. Send email to our team list serve of this summary with links for more information.  ","11/07/2025: Stacey Petersen is the IT BP but Wendy Hu will be supporting directly this request.
11/10/2025: Wendy will confirm if she and Radhika are able to present the use case on Nov 25th. Confirmed to present the use case.
11/25/2025: I&T: Isaiah informed Radhika that Bing Search can be accessed within Azure by requesting a resource group, and Bob confirmed that this functionality aligns with Power Automate capabilities.
Isaiah said that we already have tools that are utilizing these and there was another process that came through similar to this.
",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Elizondo, Carlos",10/28/25,11/6/25 5:23,2025,11/25/25,,,,,,0%,,No,,,,,,,,,,,,3/20/26 11:11,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
